"Title","Description","RDataPath","BiocVersion","Genome","SourceType","SourceUrl","SourceVersion","Species","TaxonomyId","Coordinate_1_based","DataProvider","Maintainer","RDataClass","DispatchClass","Tag"
"affer2011_CML_rankData","ranked expression matrix for bulk expression data of CML samples from GSE24739","leukemiaAtlas/affer2011_CML/rankData.rds","3.18","hg38","TAR","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE24739","GSE24739_RAW.tar","Homo sapiens","9606",NA,"GEO","Yi-Wen Hsiao <y.w.hsiao9419@gmail.com>","DataFrame","Rda","rankData"
"affer2011_CML_colData","per-sample metadata for bulk expression data of CML samples from GSE24739","leukemiaAtlas/affer2011_CML/colData.rds","3.18","hg38","TAR","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE24739","GSE24739_RAW.tar","Homo sapiens","9606",NA,"GEO","Yi-Wen Hsiao <y.w.hsiao9419@gmail.com>","DataFrame","Rda","colData"
"benito2012_CML_rankData","ranked expression matrix for bulk expression data of CML samples from GSE33075","leukemiaAtlas/benito2012_CML_/rankData.rds","3.18","hg38","TAR","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE33075","GSE33075_RAW.tar","Homo sapiens","9606",NA,"GEO","Yi-Wen Hsiao <y.w.hsiao9419@gmail.com>","DataFrame","Rda","rankData"
"benito2012_CML_colData","per-sample metadata for bulk expression data of CML samples from GSE33075","leukemiaAtlas/benito2012_CML_/colData.rds","3.18","hg38","TAR","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE33075","GSE33075_RAW.tar","Homo sapiens","9606",NA,"GEO","Yi-Wen Hsiao <y.w.hsiao9419@gmail.com>","DataFrame","Rda","colData"
"bruennert2009_CML_rankData","ranked expression matrix for bulk expression data of CML samples from GSE12211","leukemiaAtlas/bruennert2009_CML_/rankData.rds","3.18","hg38","TAR","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE12211","GSE12211_RAW.tar","Homo sapiens","9606",NA,"GEO","Yi-Wen Hsiao <y.w.hsiao9419@gmail.com>","DataFrame","Rda","rankData"
"bruennert2009_CML_colData","per-sample metadata for bulk expression data of CML samples from GSE12211","leukemiaAtlas/bruennert2009_CML_/colData.rds","3.18","hg38","TAR","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE12211","GSE12211_RAW.tar","Homo sapiens","9606",NA,"GEO","Yi-Wen Hsiao <y.w.hsiao9419@gmail.com>","DataFrame","Rda","colData"
"cancer2013_AML_rankData","ranked expression matrix bulk expression data of AML samples from TCGA-LAML","leukemiaAtlas/cancer2013_AML_/rankData.rds","3.18","hg38","TSV","https://gdc.cancer.gov/about-data/publications/laml_2012","laml.rnaseq.179_v1.0_gaf2.0_read_count_matrix.txt.tcgaID.txt","Homo sapiens","9606",NA,"TCGA","Yi-Wen Hsiao <y.w.hsiao9419@gmail.com>","DataFrame","Rda","rankData"
"cancer2013_AML_colData","per-sample metadata bulk expression data of AML samples from TCGA-LAML","leukemiaAtlas/cancer2013_AML_/colData.rds","3.18","hg38","TXT","https://gdc.cancer.gov/about-data/publications/laml_2012","fullsamplesList.tsv","Homo sapiens","9606",NA,"TCGA","Yi-Wen Hsiao <y.w.hsiao9419@gmail.com>","DataFrame","Rda","colData"
"ceroi2016_acute_rankData","ranked expression matrix bulk expression data of acute leukemia samples (ALL or AML) from GSE89565","leukemiaAtlas/ceroi2016_acute_/rankData.rds","3.18","hg38","TAR","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE89565","GSE89565_RAW.tar","Homo sapiens","9606",NA,"GEO","Yi-Wen Hsiao <y.w.hsiao9419@gmail.com>","DataFrame","Rda","rankData"
"ceroi2016_acute_colData","per-sample metadata bulk expression data of acute leukemia samples (ALL or AML) from GSE89565","leukemiaAtlas/ceroi2016_acute_/colData.rds","3.18","hg38","TAR","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE89565","GSE89565_RAW.tar","Homo sapiens","9606",NA,"GEO","Yi-Wen Hsiao <y.w.hsiao9419@gmail.com>","DataFrame","Rda","colData"
